Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color
"Seat Ibiza, ","Seat Ibiza, ",1.2 Reference,,Gasolina,06.2015,104.706 km,70 CV / 51 kW,3,Cambio tipo manual,Rojo
"Peugeot 208, ","Peugeot 208, ",1.2 VTi Active,7.699 €,Gasolina,06.2013,105.343 km,82 CV / 60 kW,5,Cambio tipo manual,Beige
"MINI Cabrio, ","MINI Cabrio, ",Cooper D,16.599 €,Diésel,05.2016,105.498 km,115 CV / 85 kW,2,Cambio tipo manual,Verde
"Peugeot 508, ","Peugeot 508, ",2.0 HDi Allure,9.799 €,Diésel,02.2013,105.696 km,140 CV / 103 kW,4,Cambio tipo manual,Negro
"Toyota Yaris, ","Toyota Yaris, ",1.5 Active,12.399 €,Gasolina,01.2019,105.976 km,110 CV / 82 kW,3,Cambio tipo manual,Blanco
"Toyota Auris Touring Sports, ","Toyota Auris Touring Sports, ",1.2 Active,12.799 €,Gasolina,04.2017,106.368 km,115 CV / 85 kW,5,Cambio tipo manual,Blanco
"Opel Insignia, ","Opel Insignia, ",1.4 Turbo Selective,10.299 €,Gasolina,10.2014,106.472 km,140 CV / 103 kW,5,Cambio tipo manual,Verde
"Renault Clio, ","Renault Clio, ",1.5 dCi Energy Limited,10.799 €,Diésel,11.2016,106.541 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Peugeot 2008, ","Peugeot 2008, ",1.2 PureTech Allure,13.399 €,Gasolina,01.2017,106.643 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Seat León, ","Seat León, ",1.4 TSI Style Copa,8.299 €,Gasolina,07.2011,106.731 km,125 CV / 92 kW,5,Cambio tipo manual,Gris
"Peugeot 3008, ","Peugeot 3008, ",2.0 Blue-HDi GT Line,22.099 €,Diésel,03.2018,106.910 km,150 CV / 110 kW,5,Cambio tipo manual,Rojo
"Hyundai Tucson, ","Hyundai Tucson, ",1.6 GDI BlueDrive Essence 2WD,16.899 €,Gasolina,10.2019,106.944 km,132 CV / 97 kW,5,Cambio tipo manual,Azul
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.4 GTE BlueMotion 245cv ,,Híbrido,12.2019,106.975 km,150 CV / 110 kW,5,Cambio tipo automático,Blanco
"Peugeot 308, ","Peugeot 308, ",1.6 Blue-HDi Style,10.099 €,Diésel,05.2015,107.151 km,100 CV / 73 kW,5,Cambio tipo manual,Gris
"Seat León, ","Seat León, ",2.0 TDI FR Edition,17.299 €,Diésel,01.2019,107.645 km,150 CV / 110 kW,5,Cambio tipo automático,Naranja
"Nissan Qashqai, ","Nissan Qashqai, ",1.3 DIG-T Acenta,17.199 €,Gasolina,11.2018,107.677 km,140 CV / 103 kW,5,Cambio tipo manual,Blanco
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.2 PureTech Feel,10.499 €,Gasolina,08.2017,107.704 km,82 CV / 60 kW,5,Cambio tipo manual,Blanco
"Audi A1, ","Audi A1, ",1.6 TDI Stronic  Adrenalin Sportback,,Diésel,09.2016,107.713 km,116 CV / 85 kW,5,Cambio tipo automático,Blanco
"Citroen C4 Cactus, ","Citroen C4 Cactus, ", e-HDi Shine,,Diésel,11.2014,107.897 km,92 CV / 68 kW,5,Semi-automático,Rojo
"Mercedes-Benz Clase CLA, ","Mercedes-Benz Clase CLA, ",CLA 200 Shooting Brake,,Diésel,03.2015,108.277 km,135 CV / 100 kW,5,Cambio tipo automático,Plata
"Volkswagen Jetta, ","Volkswagen Jetta, ",1.6 TDI Sport,9.899 €,Diésel,11.2011,108.427 km,105 CV / 77 kW,4,Cambio tipo automático,Gris
"Peugeot 3008, ","Peugeot 3008, ",2.0 Blue-HDi GT Line,21.999 €,Diésel,08.2018,108.466 km,150 CV / 110 kW,5,Cambio tipo manual,Gris
"Opel Zafira Tourer, ","Opel Zafira Tourer, ",1.4 Turbo Expression,,Gasolina,11.2014,108.591 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Hyundai i20, ","Hyundai i20, ",1.2 Klass,8.299 €,Gasolina,12.2015,108.853 km,85 CV / 62 kW,5,Cambio tipo manual,Blanco
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.2 PureTech Shine,,Gasolina,06.2018,109.045 km,110 CV / 81 kW,5,Cambio tipo automático,Azul
"Peugeot 308, ","Peugeot 308, ",1.6 Blue-HDi Style,10.599 €,Diésel,12.2016,109.397 km,100 CV / 73 kW,5,Cambio tipo manual,Blanco
"Volkswagen Polo, ","Volkswagen Polo, ",1.2 TSI Sport BlueMotion,11.199 €,Gasolina,07.2017,109.464 km,90 CV / 66 kW,5,Cambio tipo manual,Azul
"Dacia Dokker, ","Dacia Dokker, ",1.5 DCi Ambiance,9.999 €,Diésel,03.2016,109.479 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Peugeot 5008, ","Peugeot 5008, ",1.5 Blue-HDi Allure,22.599 €,Diésel,09.2019,109.526 km,130 CV / 96 kW,5,Cambio tipo automático,Blanco
"BMW X1, ","BMW X1, ",xDrive 20d,24.499 €,Diésel,02.2018,109.556 km,190 CV / 140 kW,5,Cambio tipo automático,Gris
"Seat León, ","Seat León, ",1.6 TDI Style,9.899 €,Diésel,07.2014,109.633 km,105 CV / 77 kW,5,Cambio tipo manual,Blanco
"Fiat Panda, ","Fiat Panda, ",1.2 Lounge,6.399 €,Gasolina,10.2012,109.687 km,70 CV / 51 kW,5,Cambio tipo manual,Blanco
"MINI Countryman, ","MINI Countryman, ",Cooper S ALL4,13.199 €,Gasolina,02.2011,109.909 km,185 CV / 135 kW,5,Cambio tipo automático,Blanco
"Kia Rio, ","Kia Rio, ",1.1 CRDi Tech,,Diésel,03.2017,109.917 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Seat León, ","Seat León, ",1.4 TSI Style Copa,8.299 €,Gasolina,07.2011,106.731 km,125 CV / 92 kW,5,Cambio tipo manual,Gris
"Peugeot 3008, ","Peugeot 3008, ",2.0 Blue-HDi GT Line,22.099 €,Diésel,03.2018,106.910 km,150 CV / 110 kW,5,Cambio tipo manual,Rojo
"Hyundai Tucson, ","Hyundai Tucson, ",1.6 GDI BlueDrive Essence 2WD,16.899 €,Gasolina,10.2019,106.944 km,132 CV / 97 kW,5,Cambio tipo manual,Azul
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.4 GTE BlueMotion 245cv ,,Híbrido,12.2019,106.975 km,150 CV / 110 kW,5,Cambio tipo automático,Blanco
"Peugeot 308, ","Peugeot 308, ",1.6 Blue-HDi Style,10.099 €,Diésel,05.2015,107.151 km,100 CV / 73 kW,5,Cambio tipo manual,Gris
"Seat León, ","Seat León, ",2.0 TDI FR Edition,17.299 €,Diésel,01.2019,107.645 km,150 CV / 110 kW,5,Cambio tipo automático,Naranja
"Nissan Qashqai, ","Nissan Qashqai, ",1.3 DIG-T Acenta,17.199 €,Gasolina,11.2018,107.677 km,140 CV / 103 kW,5,Cambio tipo manual,Blanco
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.2 PureTech Feel,10.499 €,Gasolina,08.2017,107.704 km,82 CV / 60 kW,5,Cambio tipo manual,Blanco
"Audi A1, ","Audi A1, ",1.6 TDI Stronic  Adrenalin Sportback,,Diésel,09.2016,107.713 km,116 CV / 85 kW,5,Cambio tipo automático,Blanco
"Citroen C4 Cactus, ","Citroen C4 Cactus, ", e-HDi Shine,,Diésel,11.2014,107.897 km,92 CV / 68 kW,5,Semi-automático,Rojo
"Mercedes-Benz Clase CLA, ","Mercedes-Benz Clase CLA, ",CLA 200 Shooting Brake,,Diésel,03.2015,108.277 km,135 CV / 100 kW,5,Cambio tipo automático,Plata
"Volkswagen Jetta, ","Volkswagen Jetta, ",1.6 TDI Sport,9.899 €,Diésel,11.2011,108.427 km,105 CV / 77 kW,4,Cambio tipo automático,Gris
"Peugeot 3008, ","Peugeot 3008, ",2.0 Blue-HDi GT Line,21.999 €,Diésel,08.2018,108.466 km,150 CV / 110 kW,5,Cambio tipo manual,Gris
"Opel Zafira Tourer, ","Opel Zafira Tourer, ",1.4 Turbo Expression,,Gasolina,11.2014,108.591 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Hyundai i20, ","Hyundai i20, ",1.2 Klass,8.299 €,Gasolina,12.2015,108.853 km,85 CV / 62 kW,5,Cambio tipo manual,Blanco
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.2 PureTech Shine,,Gasolina,06.2018,109.045 km,110 CV / 81 kW,5,Cambio tipo automático,Azul
"Peugeot 308, ","Peugeot 308, ",1.6 Blue-HDi Style,10.599 €,Diésel,12.2016,109.397 km,100 CV / 73 kW,5,Cambio tipo manual,Blanco
"Volkswagen Polo, ","Volkswagen Polo, ",1.2 TSI Sport BlueMotion,11.199 €,Gasolina,07.2017,109.464 km,90 CV / 66 kW,5,Cambio tipo manual,Azul
"Dacia Dokker, ","Dacia Dokker, ",1.5 DCi Ambiance,9.999 €,Diésel,03.2016,109.479 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Peugeot 5008, ","Peugeot 5008, ",1.5 Blue-HDi Allure,22.599 €,Diésel,09.2019,109.526 km,130 CV / 96 kW,5,Cambio tipo automático,Blanco
"BMW X1, ","BMW X1, ",xDrive 20d,24.499 €,Diésel,02.2018,109.556 km,190 CV / 140 kW,5,Cambio tipo automático,Gris
"Seat León, ","Seat León, ",1.6 TDI Style,9.899 €,Diésel,07.2014,109.633 km,105 CV / 77 kW,5,Cambio tipo manual,Blanco
"Fiat Panda, ","Fiat Panda, ",1.2 Lounge,6.399 €,Gasolina,10.2012,109.687 km,70 CV / 51 kW,5,Cambio tipo manual,Blanco
"MINI Countryman, ","MINI Countryman, ",Cooper S ALL4,13.199 €,Gasolina,02.2011,109.909 km,185 CV / 135 kW,5,Cambio tipo automático,Blanco
"Kia Rio, ","Kia Rio, ",1.1 CRDi Tech,,Diésel,03.2017,109.917 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Citroen C3 Picasso, ","Citroen C3 Picasso, ",1.6 Blue-HDi Feel Edition,10.099 €,Diésel,07.2016,110.135 km,100 CV / 73 kW,5,Cambio tipo manual,Negro
"Nissan Qashqai, ","Nissan Qashqai, ",1.2 Acenta,16.299 €,Gasolina,11.2017,110.145 km,115 CV / 85 kW,5,Cambio tipo manual,Azul
"Mercedes-Benz Clase B, ","Mercedes-Benz Clase B, ",B 200 CDI,13.999 €,Diésel,05.2013,110.145 km,135 CV / 100 kW,5,Cambio tipo automático,Blanco
"Opel Astra, ","Opel Astra, ",1.6 CDTI SS Selective,8.999 €,Diésel,11.2014,110.157 km,110 CV / 81 kW,4,Cambio tipo manual,Plata
"Mazda CX 5, ","Mazda CX 5, ",2.0 Style 2WD,14.899 €,Gasolina,01.2015,110.158 km,165 CV / 121 kW,5,Cambio tipo manual,Azul
"Opel Insignia, ","Opel Insignia, ",1.6 CDTI Selective,10.999 €,Diésel,03.2016,110.363 km,120 CV / 88 kW,5,Cambio tipo manual,Gris
"Renault Captur, ","Renault Captur, ",1.5 dCi eco2 Zen Energy,,Diésel,12.2013,110.516 km,90 CV / 66 kW,5,Cambio tipo manual,Naranja
"Citroen C3 Picasso, ","Citroen C3 Picasso, ",1.6 HDi Seduction,9.399 €,Diésel,02.2014,110.653 km,92 CV / 68 kW,5,Cambio tipo manual,Rojo
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.4 TSI Advance,17.499 €,Gasolina,10.2017,111.094 km,125 CV / 92 kW,5,Cambio tipo automático,Blanco
"BMW Serie 1, ","BMW Serie 1, ",118i Advantage,16.499 €,Gasolina,11.2017,111.334 km,135 CV / 100 kW,5,Cambio tipo automático,Blanco
"Citroen C4 Grand Picasso, ","Citroen C4 Grand Picasso, ",1.6 Blue-HDi Feel,15.299 €,Diésel,02.2017,111.345 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"MINI MINI, ","MINI MINI, ",One,8.399 €,Gasolina,06.2011,111.379 km,75 CV / 55 kW,3,Cambio tipo manual,Blanco
"Seat Tarraco, ","Seat Tarraco, ",2.0 TDI Xcellence Plus 4Drive,29.499 €,Diésel,09.2019,111.542 km,190 CV / 140 kW,5,Cambio tipo automático,Verde
"Mercedes-Benz Clase C, ","Mercedes-Benz Clase C, ",C 200 CDI BlueEfficiency Avantgarde,,Diésel,03.2011,111.739 km,135 CV / 100 kW,4,Cambio tipo manual,Azul
"Volkswagen Golf VI, ","Volkswagen Golf VI, ",2.0 TDI Sport,11.499 €,Diésel,05.2011,111.744 km,140 CV / 103 kW,5,Cambio tipo manual,Blanco
"Volkswagen Passat, ","Volkswagen Passat, ",1.8 TSI Sport BlueMotion,,Gasolina,09.2015,112.156 km,180 CV / 132 kW,4,Cambio tipo automático,Plata
"Toyota Auris, ","Toyota Auris, ",1.6 Active,9.599 €,Gasolina,11.2013,112.769 km,132 CV / 97 kW,5,Cambio tipo manual,Blanco
"Chevrolet Trax, ","Chevrolet Trax, ",1.6 LT,7.799 €,Gasolina,11.2013,112.863 km,115 CV / 85 kW,5,Cambio tipo manual,Blanco
"Hyundai ix35, ","Hyundai ix35, ",2.0 CRDi Tecno 4X4,13.899 €,Diésel,06.2015,113.242 km,185 CV / 135 kW,5,Cambio tipo automático,Blanco
"Toyota Auris, ","Toyota Auris, ",1.8 Hybrid Active,11.699 €,Híbrido,02.2013,113.501 km,100 CV / 73 kW,5,Cambio tipo automático,Blanco
"Nissan Qashqai, ","Nissan Qashqai, ",1.5 Turbodiesel Teckna 4x2,9.999 €,Diésel,06.2011,113.658 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Hyundai i30, ","Hyundai i30, ",1.4 GLS Tecno,8.599 €,Gasolina,06.2013,113.699 km,100 CV / 73 kW,5,Cambio tipo manual,Negro
"Hyundai i20, ","Hyundai i20, ",1.1 CRDi Essence,,Diésel,11.2015,113.736 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Chevrolet Cruze, ","Chevrolet Cruze, ",1.7 Diesel LT,,Diésel,06.2014,113.762 km,130 CV / 96 kW,5,Cambio tipo manual,Blanco
"Toyota Verso, ","Toyota Verso, ",1.6 D-4D Advance 7pl,15.099 €,Diésel,06.2017,113.956 km,110 CV / 82 kW,5,Cambio tipo manual,Gris
"Mercedes-Benz Clase A, ","Mercedes-Benz Clase A, ",180 BlueEfficiency Urban,,Gasolina,06.2014,114.208 km,122 CV / 90 kW,5,Cambio tipo automático,Negro
"Citroen C4, ","Citroen C4, ",1.6 Blue-HDi Feel Edition,10.499 €,Diésel,07.2016,114.307 km,100 CV / 73 kW,5,Cambio tipo manual,Gris
"Citroen C 3, ","Citroen C 3, ",HDi Collection,6.899 €,Diésel,05.2014,114.333 km,68 CV / 50 kW,5,Cambio tipo manual,Negro
"Volkswagen Polo, ","Volkswagen Polo, ",1.2 TSI Advance,8.599 €,Gasolina,05.2013,114.690 km,90 CV / 66 kW,5,Cambio tipo manual,Rojo
"Kia cee'd, ","Kia cee'd, ",1.4 Concept,9.399 €,Gasolina,03.2016,114.743 km,100 CV / 73 kW,5,Cambio tipo manual,Blanco
"Kia Rio, ","Kia Rio, ",1.2 Concept,7.099 €,Gasolina,11.2014,114.789 km,85 CV / 62 kW,3,Cambio tipo manual,Blanco
"Ford Grand C-Max, ","Ford Grand C-Max, ",1.0 EcoBoost Titanium,14.199 €,Gasolina,05.2018,115.193 km,125 CV / 92 kW,5,Cambio tipo manual,Gris
"Citroen C 3, ","Citroen C 3, ",1.0 PT Tonic,6.999 €,Gasolina,10.2014,115.294 km,68 CV / 50 kW,5,Cambio tipo manual,Blanco
"Renault Twingo, ","Renault Twingo, ",1.2 Emotion,6.099 €,Gasolina,06.2013,115.776 km,75 CV / 55 kW,3,Cambio tipo manual,Morado
"Hyundai i20, ","Hyundai i20, ",1.2 Fresh,,Gasolina,01.2018,116.545 km,85 CV / 62 kW,5,Cambio tipo manual,Negro
"Ford Tourneo, ","Ford Tourneo, ",1.0 EcoBoost Trend,12.299 €,Gasolina,07.2016,116.820 km,100 CV / 74 kW,5,Cambio tipo manual,Beige
"Nissan X-Trail, ","Nissan X-Trail, ",1.6 dCi Acenta,,Diésel,07.2017,116.823 km,130 CV / 96 kW,5,Cambio tipo automático,Negro
"Seat Ibiza, ","Seat Ibiza, ",1.6 TDI Style,9.499 €,Diésel,05.2015,117.204 km,105 CV / 77 kW,5,Cambio tipo manual,Azul
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.6 TDI Business,,Diésel,04.2014,117.325 km,105 CV / 77 kW,5,Cambio tipo manual,Rojo
"BMW X1, ","BMW X1, ",sDrive 18d xLine,21.299 €,Diésel,10.2017,117.359 km,150 CV / 110 kW,5,Cambio tipo manual,Blanco
"Hyundai i10, ","Hyundai i10, ",1.2 Style,8.799 €,Gasolina,07.2017,117.423 km,87 CV / 64 kW,5,Cambio tipo manual,Azul
"Opel Zafira Tourer, ","Opel Zafira Tourer, ",1.6 CDTI DPF Selective,12.299 €,Diésel,11.2016,117.708 km,136 CV / 100 kW,5,Cambio tipo manual,Gris
"Citroen C4 Picasso, ","Citroen C4 Picasso, ",1.6 HDi Seduction,9.699 €,Diésel,05.2014,117.784 km,92 CV / 68 kW,5,Cambio tipo manual,Blanco
"BMW Serie 1, ","BMW Serie 1, ",116d EfficientDynamics Edition,11.399 €,Diésel,05.2012,117.920 km,115 CV / 85 kW,5,Cambio tipo manual,Negro
"BMW X3, ","BMW X3, ",xDrive 20d,20.199 €,Diésel,11.2014,117.934 km,190 CV / 140 kW,5,Cambio tipo automático,Blanco
"Volkswagen Passat, ","Volkswagen Passat, ",1.8 TSI Sport BlueMotion,,Gasolina,11.2015,117.977 km,180 CV / 132 kW,4,Cambio tipo automático,Azul
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.2 VTi Feel,8.799 €,Gasolina,10.2014,118.110 km,82 CV / 60 kW,5,Cambio tipo manual,Blanco
"BMW X1, ","BMW X1, ",sDrive 20d,22.099 €,Diésel,05.2016,118.603 km,190 CV / 140 kW,5,Cambio tipo automático,Gris
"Peugeot 3008, ","Peugeot 3008, ",1.6 Blue-HDi Style,11.799 €,Diésel,09.2016,118.705 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Dacia Sandero, ","Dacia Sandero, ",0.9 TCe  Stepway,8.599 €,Gasolina,09.2016,119.144 km,90 CV / 66 kW,5,Cambio tipo manual,Rojo
"Mercedes-Benz Clase A, ","Mercedes-Benz Clase A, ",180 BlueEfficiency Urban,,Gasolina,06.2014,114.208 km,122 CV / 90 kW,5,Cambio tipo automático,Negro
"Citroen C4, ","Citroen C4, ",1.6 Blue-HDi Feel Edition,10.499 €,Diésel,07.2016,114.307 km,100 CV / 73 kW,5,Cambio tipo manual,Gris
"Citroen C 3, ","Citroen C 3, ",HDi Collection,6.899 €,Diésel,05.2014,114.333 km,68 CV / 50 kW,5,Cambio tipo manual,Negro
"Volkswagen Polo, ","Volkswagen Polo, ",1.2 TSI Advance,8.599 €,Gasolina,05.2013,114.690 km,90 CV / 66 kW,5,Cambio tipo manual,Rojo
"Kia cee'd, ","Kia cee'd, ",1.4 Concept,9.399 €,Gasolina,03.2016,114.743 km,100 CV / 73 kW,5,Cambio tipo manual,Blanco
"Kia Rio, ","Kia Rio, ",1.2 Concept,7.099 €,Gasolina,11.2014,114.789 km,85 CV / 62 kW,3,Cambio tipo manual,Blanco
"Ford Grand C-Max, ","Ford Grand C-Max, ",1.0 EcoBoost Titanium,14.199 €,Gasolina,05.2018,115.193 km,125 CV / 92 kW,5,Cambio tipo manual,Gris
"Citroen C 3, ","Citroen C 3, ",1.0 PT Tonic,6.999 €,Gasolina,10.2014,115.294 km,68 CV / 50 kW,5,Cambio tipo manual,Blanco
"Renault Twingo, ","Renault Twingo, ",1.2 Emotion,6.099 €,Gasolina,06.2013,115.776 km,75 CV / 55 kW,3,Cambio tipo manual,Morado
"Hyundai i20, ","Hyundai i20, ",1.2 Fresh,,Gasolina,01.2018,116.545 km,85 CV / 62 kW,5,Cambio tipo manual,Negro
"Ford Tourneo, ","Ford Tourneo, ",1.0 EcoBoost Trend,12.299 €,Gasolina,07.2016,116.820 km,100 CV / 74 kW,5,Cambio tipo manual,Beige
"Nissan X-Trail, ","Nissan X-Trail, ",1.6 dCi Acenta,,Diésel,07.2017,116.823 km,130 CV / 96 kW,5,Cambio tipo automático,Negro
"Seat Ibiza, ","Seat Ibiza, ",1.6 TDI Style,9.499 €,Diésel,05.2015,117.204 km,105 CV / 77 kW,5,Cambio tipo manual,Azul
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.6 TDI Business,,Diésel,04.2014,117.325 km,105 CV / 77 kW,5,Cambio tipo manual,Rojo
"BMW X1, ","BMW X1, ",sDrive 18d xLine,21.299 €,Diésel,10.2017,117.359 km,150 CV / 110 kW,5,Cambio tipo manual,Blanco
